Mobiles,Colors,Price in Rupees,Off(%),Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Display,Secondary_Camera(MP),Primary_Camera(MP),Battery_details,Warranty(Year),Rating
OPPOA7,GlaringGold,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,16,13 + 2 ,4230,1,4.4
Honor8X,Black,18599,2,6 GB  , 128 GB  ,  256 GB,yes,6.5,NA,16,20 + 2 ,3750,0,4.4
Honor8X,Blue,18450,2,6 GB  , 128 GB  ,  256 GB,yes,6.5,NA,16,20 + 2 ,3750,0,4.4
VivoY95,NebulaPurple,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,20,13 + 2 ,4030,1,4.4
VivoY95,StarryBlack,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.22,HD,20,13 + 2 ,4030,1,4.4
POCOF1byXiaomi,GraphiteBlack,17999,18,6 GB  , 64 GB  ,  256 GB,yes,6.18,FHD,20,12 + 5 ,4000,1,4.6
Honor9i,GraphiteBlack,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
OPPOF11,FluoritePurple,17990,18,4 GB  , 128 GB  ,  256 GB,yes,6.53,NA,16,48 + 5 ,4020,1,4.4
OPPOF11,MarbleGreen,17990,18,4 GB  , 128 GB  ,  256 GB,yes,6.53,NA,16,48 + 5 ,4020,1,4.4
RedmiNote5Pro,Gold,11999,29,6 GB  , 64 GB  ,  128 GB,yes,5.99,FullHD,20,12 + 5 ,4000,1,4.5
Honor9i,AuroraBlue,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
SamsungGalaxyJ6,Blue,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
OPPOF11Pro,AuroraGreen,20990,27,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
VivoY81,Gold,8490,39,3 GB  , 32 GB  ,  256 GB,yes,6.1,HD,5,13,3260,1,4.4
Honor9i,GraphiteBlack,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
OPPOF11,FluoritePurple,17990,18,4 GB  , 128 GB  ,  256 GB,yes,6.53,NA,16,48 + 5 ,4020,1,4.4
OPPOF11,MarbleGreen,17990,18,4 GB  , 128 GB  ,  256 GB,yes,6.53,NA,16,48 + 5 ,4020,1,4.4
OPPOF11Pro,AuroraGreen,23990,20,6 GB  , 128 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
OPPOF11Pro,ThunderBlack,23990,20,6 GB  , 128 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
Honor9i,AuroraBlue,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
OPPOF11Pro,AuroraGreen,20990,27,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
OPPOF11Pro,ThunderBlack,20990,27,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
POCOF1byXiaomi,SteelBlue,20999,16,6 GB  , 128 GB  ,  256 GB,yes,6.18,FHD,20,12 + 5 ,4000,1,4.6
OPPOK1,PianoBlack,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
OPPOK1,AstralBlue,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
VivoV15,FrozenBlack,19990,25,6 GB  , 64 GB  ,  256 GB,yes,6.53,FHD,32,12 (24 Million Photosensitive Units) + 8 + 5 5 + 8 ,4000,1,4.4
Honor9i,GraphiteBlack,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
Honor9i,AuroraBlue,8999,55,4 GB  , 64 GB  ,  128 GB,yes,5.9,FullHD,13,16 + 2 ,3340,0,4.3
OPPOF11Pro,ThunderBlack,23990,20,6 GB  , 128 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
OPPOF11Pro,AuroraGreen,23990,20,6 GB  , 128 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
OPPOF11,FluoritePurple,17990,18,4 GB  , 128 GB  ,  256 GB,yes,6.53,NA,16,48 + 5 ,4020,1,4.4
OPPOF11,MarbleGreen,17990,18,4 GB  , 128 GB  ,  256 GB,yes,6.53,NA,16,48 + 5 ,4020,1,4.4
POCOF1byXiaomi,SteelBlue,20999,16,6 GB  , 128 GB  ,  256 GB,yes,6.18,FHD,20,12 + 5 ,4000,1,4.6
OPPOF11Pro,ThunderBlack,20990,27,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
OPPOF11Pro,AuroraGreen,20990,27,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
VivoV15,FrozenBlack,19990,25,6 GB  , 64 GB  ,  256 GB,yes,6.53,FHD,32,12 (24 Million Photosensitive Units) + 8 + 5 5 + 8 ,4000,1,4.4
VivoV15,AquaBlue,19990,25,6 GB  , 64 GB  ,  256 GB,yes,6.53,FHD,32,12 (24 Million Photosensitive Units) + 8 + 5 5 + 8 ,4000,1,4.4
OPPOK1,PianoBlack,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
OPPOK1,AstralBlue,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
VivoY17,MysticPurple,15990,15,4 GB  , 128 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.3
VivoY17,MineralBlue,15990,15,4 GB  , 128 GB  ,  256 GB,yes,6.35,HD,8,13 + 2,5000,1,4.3
SamsungGalaxyA30,Blue,15490,13,4 GB  , 64 GB  ,  512 GB,yes,6.4,FHD,16,16 + 5 ,4000,1,4.4
OPPOF9Pro,StarryPurple,17990,30,6 GB  , 64 GB  ,  256 GB,yes,6.3,FullHDDisplay,25,16 + 2 ,3500,1,4.5
OPPOF9Pro,SunriseRed,17990,30,6 GB  , 64 GB  ,  256 GB,yes,6.3,FullHDDisplay,25,16 + 2 ,3500,1,4.5
OPPOF9Pro,TwilightBlue,17990,30,6 GB  , 64 GB  ,  256 GB,yes,6.3,FullHDDisplay,25,16 + 2 ,3500,1,4.5
Honor8X,Black,18599,2,6 GB  , 128 GB  ,  256 GB,yes,6.5,NA,16,20 + 2 ,3750,0,4.4
Honor8X,Blue,18450,2,6 GB  , 128 GB  ,  256 GB,yes,6.5,NA,16,20 + 2 ,3750,0,4.4
VivoV15Pro,TopazBlue,29990,14,8 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.6
OPPOA7,GlaringGold,13990,26,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,16,13 + 2 ,4230,1,4.4
POCOF1byXiaomi,GraphiteBlack,27999,9,8 GB  , 256 GB  ,  256 GB,yes,6.18,FHD,20,12 + 5 ,4000,1,4.6
NubiaRedMagic3,Black,35999,7,8 GB  , 128 GB  ,256GB,yes,6.6,FullHDDisplay,16,48,5000,1,5
NubiaRedMagic3,Red,35999,7,8 GB  , 128 GB  ,257GB,yes,6.6,FullHDDisplay,16,48,5000,1,5
VivoV15Pro,TopazBlue,29990,14,8 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.6
GooglePixel3a,JustBlack,39999,11,4 GB  , 64 GB  ,128GB,yes,5.6,FHD,8,12.2,3000,1,4.5
SamsungGalaxyA8Star,Black,18899,47,6 GB  , 64 GB  ,128GB,yes,6.3,NA,8,24,3700,0,4.3
BlackShark2,ShadowBlack,39999,13,6 GB  , 128 GB  ,256GB,yes,6.39,NA,20,48 + 12 ,4000,1,4.7
AppleiPhone6sPlus,Silver,39990,6,16 GB  ,64GB,128GB,yes,5.5,RetinaHDDisplay,20,12,4000,1,4.3
AppleiPhone6sPlus,Gold,39990,6,32 GB  ,64GB,128GB,yes,5.5,RetinaHDDisplay,20,12,4000,1,4.4
SamsungGalaxyA30,Blue,15490,13,4 GB  , 64 GB  ,  512 GB,yes,6.4,FHD,16,16 + 5 ,4000,1,4.4
SamsungGalaxyA30,Black,15490,13,4 GB  , 64 GB  ,  512 GB,yes,6.4,FHD,16,16 + 5 ,4000,1,4.4
SamsungGalaxyM30,GradationBlack,15690,4,4 GB  , 64 GB  ,256GB,yes,6.4,NA,16,13,5000,0,4.4
SamsungGalaxyA8Star,Black,18899,47,6 GB  , 64 GB  ,256GB,yes,6.3,NA,16,24,3700,0,4.3
SamsungGalaxyM30,GradationBlue,16299,1,4 GB  , 64 GB  ,256GB,yes,6.4,NA,16,13,5000,0,4.4
AppleiPhone6s,SpaceGrey,29529,6,32 GB  ,64GB,128GB,yes,4.7,RetinaHDDisplay,20,12,4000,1,4.5
VivoV15Pro,TopazBlue,26990,18,6 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.5
VivoV15Pro,RubyRed,29990,14,8 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.6
GooglePixel3a,ClearlyWhite,39999,11,4 GB  , 64 GB  ,128GB,yes,5.6,FHD,8,12.2,3000,1,4.5
SamsungGalaxyNote8,OrchidGrey,36990,50,6 GB  , 64 GB  ,  256 GB,yes,6.3,QuadHD,8,12 + 12 ,3300,0,4.6
HTCU11,SolarRed,39999,25,6 GB  , 128 GB  ,256GB,yes,5.5,QuadHDDisplay,16,12,3000,1,4.6
HuaweiP9,TitaniumGrey,39999,25,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,12 + 12 ,3000,1,4.5
SamsungGalaxyA9,LemonadeBlue,30100,14,6 GB  , 128 GB  ,  512 GB,yes,6.3,FHD,24,24 + 5 + 10 +8 ,3800,1,4.4
SamsungGalaxyA8Plus,Gold,19960,28,6 GB  , 64 GB  ,128GB,yes,6,NA,24,16,3500,0,4.3
MotoZwithStyleMod,Black,39999,28,4 GB  , 64 GB  ,  2 TB,yes,5.5,QuadHDDisplay,5,13,2600,1,4.1
SamsungGalaxyJ8,Blue,14990,11,4 GB  , 64 GB  ,  256 GB,yes,6,HD,16,16 + 5 ,3500,1,4.4
SamsungGalaxyJ6Plus,Black,12990,5,4 GB  , 64 GB  ,  512 GB,yes,6,HD,8,13 + 5 ,3300,1,4.3
SamsungGalaxyJ8,Black,14990,11,4 GB  , 64 GB  ,  256 GB,yes,6,HD,16,16 + 5 ,3500,1,4.4
SamsungGalaxyJ6Plus,Red,12990,5,4 GB  , 64 GB  ,  512 GB,yes,6,HD,8,13 + 5 ,3300,1,4.3
SamsungGalaxyJ6,Black,10490,8,3 GB  , 32 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.4
LenovoA5,Black,5999,14,2 GB  , 16 GB  ,  256 GB,yes,5.45,HD,8,13,4000,1,4.1
LenovoA5,Gold,6999,12,3 GB  , 32 GB  ,  256 GB,yes,5.45,HD,8,13,4000,1,4
LenovoPhab2Plus,GunmetalGrey,14990,12,3 GB  , 32 GB  ,  128 GB,yes,6.4,FullHDDisplay,8,13 + 13 ,4050,1,4
LenovoK8Plus,VenomBlack,7999,20,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,13 + 5 ,4000,1,4.1
LenovoK9,Black,7999,20,3 GB  , 32 GB  ,  256 GB,yes,5.7,HD,13,13 + 5 ,3000,1,4.1
LenovoK9Note,Black,9999,16,4 GB  , 64 GB  ,  256 GB,yes,5.99,HD,8,16 + 2 ,3760,1,4.3
LenovoK8Plus,FineGold,7999,20,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,13 + 5 ,4000,1,4.1
LenovoA5,Gold,5999,14,2 GB  , 16 GB  ,  256 GB,yes,5.45,HD,8,13,4000,1,4.1
LenovoK9Note,Gold,9999,16,4 GB  , 64 GB  ,  256 GB,yes,5.99,HD,8,16 + 2 ,3760,1,4.3
SamsungGalaxyJ6Plus,Blue,12990,5,4 GB  , 64 GB  ,  512 GB,yes,6,HD,8,13 + 5 ,3300,1,4.3
SamsungGalaxyJ6,Blue,10490,8,3 GB  , 32 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.4
MotoZwithStyleMod,White,39999,28,4 GB  , 64 GB  ,  2 TB,yes,5.5,QuadHDDisplay,5,13,2600,1,4.1
HuaweiP9,PrestigeGold,39999,28,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,12 + 12 ,3000,1,4.5
HuaweiP9,MysticSilver,39999,28,3 GB  , 32 GB  ,  128 GB,yes,5.2,FullHDDisplay,8,12 + 12 ,3000,1,4.5
OPPOR17Pro,RadiantMist,29990,40,8 GB  , 128 GB  ,256GB,yes,6.4,NA,25,12 + 20 ,3700,1,4.4
SamsungGalaxyNote8,MidnightBlack,36990,50,6 GB  , 64 GB  ,  256 GB,yes,6.3,QuadHD,8,12 + 12 ,3300,0,4.6
SamsungGalaxyNote8,MapleGold,36990,50,6 GB  , 64 GB  ,  256 GB,yes,6.3,QuadHD,8,12 + 12 ,3300,0,4.6
OPPOF11Pro,ThunderBlack,20990,27,6 GB  , 64 GB  ,  256 GB,yes,6.5,FHD,16,48 + 5 ,4000,1,4.5
OPPOR17Pro,EmeraldGreen,29990,40,8 GB  , 128 GB  ,256GB,yes,6.4,NA,25,12 + 20 ,3700,1,4.4
VivoV15Pro,TopazBlue,29990,14,8 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.6
AppleiPhone6s,RoseGold,29799,14,32 GB  ,NA,  256 GB,yes,4.7,RetinaHDDisplay,5,12,3700,1,4.5
AppleiPhone6sPlus,SpaceGrey,34900,14,32 GB  ,NA,  256 GB,yes,5.5,RetinaHDDisplay,5,12,3700,1,4.5
AppleiPhone6s,Silver,29799,14,32 GB  ,NA,  256 GB,yes,4.7,RetinaHDDisplay,5,12,3700,1,4.5
AppleiPhone6s,Gold,29799,14,32 GB  ,NA,  256 GB,yes,4.7,RetinaHDDisplay,5,12,3700,1,4.5
SamsungGalaxyA8Star,Black,18899,47,6 GB  , 64 GB  ,128GB,yes,6.3,NA,5,24,3700,0,4.3
BlackberryEvolve,Black,18600,37,4 GB  , 64 GB  ,  256 GB,yes,5.99,FullHD,16,13 + 13 ,4000,0,3.8
AppleiPhone6sPlus,RoseGold,34900,37,32 GB  ,NA,  256 GB,yes,5.5,RetinaHDDisplay,16,12,4000,1,4.5
AppleiPhone6s,SpaceGrey,29529,37,32 GB  ,NA,  256 GB,yes,4.7,RetinaHDDisplay,16,12,4000,1,4.5
MotoTurbo,Black,31999,37,3 GB  , 64 GB  ,128GB,yes,5.2,QuadHDDisplay,2,21,3900,1,4.2
VivoV15Pro,TopazBlue,26990,18,6 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.5
SamsungGalaxyA70,Black,28990,6,6 GB  , 128 GB  ,  512 GB,yes,6.7,FHD,32,32 + 5 + 8 ,4500,1,4.4
VivoV15Pro,RubyRed,26990,18,6 GB  , 128 GB  ,  256 GB,yes,6.39,FHD,5,48 Million Quad Pixel Sensor (12 Million Effective Pixel) + 8 + 5,3700,1,4.5
SamsungGalaxyA70,White,28990,6,6 GB  , 128 GB  ,  512 GB,yes,6.7,FHD,32,32 + 5 + 8 ,4500,1,4.4
SamsungGalaxyA9,LemonadeBlue,30100,14,6 GB  , 128 GB  ,512GB,yes,6.3,FHD,24,24 + 5 + 10 +8 ,3800,1,4.4
SamsungGalaxyA8Plus,Gold,19960,28,6 GB  , 64 GB  ,128GB,yes,6,NA,24,16,3500,0,4.3
Nokia8.1,Iron,24499,23,6 GB  , 128 GB  ,256GB,yes,6.18,FullHD,20,12 + 13 ,3500,0,4.6
LYFC459,Black,3799,37,1 GB  , 8 GB  ,  128 GB,yes,4.5,FWVGADisplay,2,5,2000,1,3.5
LYFWaterF1,Black,7399,37,3 GB  , 32 GB  ,64GB,yes,5.5,NA,8,16,3200,0,3.8
LYFC459,Black,3799,25,1 GB  , 8 GB  ,  128 GB,yes,4.5,FWVGADisplay,2,5,2000,0,3.5
LYFC459,Blue,3699,25,1 GB  , 8 GB  ,  128 GB,yes,4.5,FWVGADisplay,2,8,2000,0,3.5
LYFWind1,Black,4999,25,1 GB  , 16 GB  ,  32 GB,yes,5,HDDisplay,5,8,2300,0,3.3
Asus6Z,Black,31999,11,6 GB  , 64 GB  ,  2 TB,yes,6.39,FHD,48,48 + 13 ,5000,1,4.6
SamsungGalaxyJ6,Blue,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
SamsungGalaxyJ6,Black,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
SamsungGalaxyJ6,Gold,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
LenovoA5,Black,6999,12,3 GB  , 32 GB  ,  256 GB,yes,5.45,HD,8,13,4000,1,4
LenovoK9,Blue,7999,20,3 GB  , 32 GB  ,  256 GB,yes,5.7,HD,13,13 + 5 ,3000,1,4.1
LenovoPhab2Plus,ChampagneGold,9999,20,3 GB  , 32 GB  ,  128 GB,yes,6.4,FullHDDisplay,8,13 + 13 ,4050,1,4
LenovoVibeZ2Pro,StarryNightBlack,29999,20,3 GB  , 32 GB  ,  128 GB,yes,6,QuadHDDisplay,5,16,4000,0,4
LenovoK8,FineGold,7953,20,3 GB  , 32 GB  ,  128 GB,yes,5.2,HDDisplay,8,13,4000,1,4.1
LenovoVibeP1Turbo,Silver,8399,18,3 GB  , 32 GB  ,  128 GB,yes,5.5,FullHDDisplay,5,13,4900,1,3.7
LenovoS930,Silver,13604,18,1 GB  , 8 GB  ,  32 GB,yes,6,HDDisplay,1,8,3000,0,4.2
LenovoA7000,White,7999,27,2 GB  , 8 GB  ,  32 GB,yes,5.5,HDDisplay,5,8,2900,1,4
LenovoK8,VenomBlack,7999,11,3 GB  , 32 GB  ,  128 GB,yes,5.2,HDDisplay,8,13,4000,1,4.1
SamsungGalaxyA9,CaviarBlack,32900,17,8 GB  , 128 GB  ,  512 GB,yes,6.3,FHD,24,24 + 5 + 10 +8 ,3800,1,4.3
SamsungGalaxyA70,Blue,28990,6,6 GB  , 128 GB  ,  512 GB,yes,6.7,FHD,32,32 + 5 + 8 ,4500,1,4.4
Honor20,SapphireBlue,32999,8,6 GB  , 128 GB  ,256GB,yes,6.26,NA,32,48 + 16 + 2 + 2 ,3750,1,3.9
Honor20,MidnightBlack,32999,8,6 GB  , 128 GB  ,256GB,yes,6.26,NA,32,48 + 16 + 2 + 2 ,3750,1,3.9
MicromaxSparkGo,RoseGold,3499,30,1 GB  , 8 GB  ,  32 GB,yes,5,NA,2,5,2000,1,4.1
MicromaxSparkGo,Silver,3499,30,1 GB  , 8 GB  ,  32 GB,yes,5,NA,2,5,2000,1,4.1
SamsungGalaxyA2Core,Blue,5290,10,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
GioneeF205,BlackandGold,4990,41,2 GB  , 16 GB  ,  256 GB,yes,5.45,HD,5,8,2670,1,4.1
Nokia1,DarkBlue,4245,3,1 GB  , 8 GB  ,  128 GB,yes,4.5,NA,2,5,2150,0,4
AppleiPhone6sPlus,SpaceGrey,34900,3,32 GB  ,64GB,  128 GB,yes,5.5,RetinaHDDisplay,2,12,3000,1,4.5
SamsungGalaxyA2Core,DarkGray,5290,10,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
MobiistarC1Lite,Gold,3849,3,1 GB  , 8 GB  ,  128 GB,yes,5.34,NA,5,5,2700,0,4.1
Nokia1,WarmRed,4290,3,1 GB  , 8 GB  ,32GB,yes,4.5,NA,5,5,2150,0,4
LavaZ51,Gold,4499,10,1 GB  , 16 GB  ,  128 GB,yes,5,NA,5,5,2550,1,3.8
SamsungGalaxyA10,Blue,7990,8,2 GB  , 32 GB  ,  512 GB,yes,6.2,HD,5,13,3400,1,4.3
SamsungGalaxyOn8,Blue,11990,40,4 GB  , 64 GB  ,  256 GB,yes,6,HD,16,16 + 5 ,3500,1,4.4
SamsungGalaxyJ6,Black,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
SamsungGalaxyOn8,Black,11990,40,4 GB  , 64 GB  ,  256 GB,yes,6,HD,16,16 + 5 ,3500,1,4.4
SamsungGalaxyJ6,Gold,9490,26,4 GB  , 64 GB  ,  256 GB,yes,5.6,HD,8,13,3000,1,4.5
SamsungGalaxyA2Core,Gold,5390,8,1 GB  , 16 GB  ,  256 GB,yes,5,QuadHDDisplay,5,5,2600,1,4.2
LYFEarth1,White,19499,25,3 GB  , 32 GB  ,  32 GB,yes,5.5,FullHDDisplay,5,13,3500,0,3.7
